Year,Event Description
1964,Freedom Summer in Mississippi to register African-American voters and engage in community organizing
1989,General Colin Powell named chairman of the Joint Chiefs of Staff
1989,George H.W. Bush inaugurated as forty-first President of the U.S.
2000,George W Bush Elected President
1984,Geraldine Ferraro becomes the first woman nominated as a vice presidential candidate when the Democrats choose her as Walter Mondale's running mate
1998,Google founded in California
2019,Government Shut Down Ends after 35 Days
1964,"Gulf of Tonkin, off the coast of northern Vietnam, incident leads to Gulf of Tonkin Resolution, which allowed President Johnson to escalate the undeclared war in Vietnam"
1995,Heather Whitestone becomes the first hearing-impaired Miss America
2000,Hilary Clinton Elected to Senate
2000,Hillary Clinton becomes the first First Lady to win political office by being elected to the U.S. Senate
2005,Hispanic Mayor of Los Angeles
1979,Hostage Crisis begins in Iran; hostages freed in January 1981
2019,House Votes to Impeach President Trump
2012,Hurricane Sandy
1981,IBM introduces the MS-DOS computer operating system
2021,Insurrection in Washington The Capitol is Attacked
1995,Internet Explorer software introduced
1970,Invasion of Cambodia by U.S. forces
1986,Iran-Contra affair of secret arms deals becomes public
1975,"Iran's Shah Mohammed Reza Pahlavi abolishes multi-party government, requiring membership in the single Rastakhiz party. "
1997,James Cameron’s Titanic opens; until 2009 will be the highest-grossing film of all time
2014,Janet Yellen to Head Federal Reserve
1979,"Janette Carter, the daughter of composer A.P. Carter and singer Sara Carter of the Carter Family, founds The Carter Family Fold, a performance venue in southwestern Virginia, to showcase and promote traditional Appalachian music."
1996,January blizzard paralyzes much of the eastern seaboard
1976,Jimmy Carter wins presidential election to become thirty-ninth President of the U.S
1963,"John F. Kennedy assassinated in Dallas, Texas; Lyndon Johnson becomes thirty-sixth President of the U.S."
1971,"John F. Kennedy Center for the Performing Arts opens in Washington, D.C."
1961,John F. Kennedy inaugurated as thirty-fifth President of the U.S.; youngest elected president and first Catholic
1992,"Johnny Carson leaves ""The Tonight Show"" after thirty years on the air; he is succeeded by Jay Leno"
1978,Jonestown massacre in Guyana included mass suicides by followers of Peoples Temple under Rev. Jim Jones
1994,Kenneth Starr appointed to investigate the Whitewater real estate scandal involving Bill and Hillary Clinton
1970,Killing of students by National Guard at Kent State University in Ohio
1963,"King gives ""I Have a Dream"" speech at the Lincoln Memorial during March for Jobs and Freedom"
1995,"Korean War Veterans Memorial dedicated in Washington, D.C."
1972,Last U.S. ground forces leave Vietnam
1988,Lauro F. Cavazos becomes first Hispanic cabinet member with his appointment as secretary of education
2008,Lehman Brothers Declares Bankruptcy
1990,"Lockheed SR-71 ""Blackbird"" sets transcontinental speed record"
1991,"Los Angeles police officers are videotaped beating Rodney King during a traffic stop, becoming national news; riots erupted when three of the four officers were acquitted of the racially-motivated beating in 1992."
1964,Lyndon B. Johnson elected president
1965,Lyndon B. Johnson's Great Society program announced
1965,Malcolm X assassinated in New York City
1992,"Mall of America opens in Minneapolis, Minnesota"
1964,"Martin Luther King, Jr. awarded Nobel Peace Prize"
1963,"Martin Luther King, Jr. writes ""Letter from Birmingham Jail"" after being arrested for participating in a civil rights protest in Alabama"
2018,Massacre at Synagogue in Pittsburgh
1999,Massacre by two students at Columbine High School in Colorado
2018,Mattis Resigns After Trump Announcement on Syria
1997,McCaughey septuplets of Iowa become the first set of septuplets to survive infancy
1973,"Members of American Indian Movement occupy Wounded Knee, South Dakota, site of 1890 massacre"
2000,"Microsoft Corporation found guilty of violating the Sherman Antitrust Act, after judge determined in 1999 that the company had established a monopoly in the personal computer market"
1985,Microsoft introduces the mouse-based Windows 1.0 computer operating system
1998,Microsoft sued for unfair business practices
2018,Midterm Elections
1995,Mississippi becomes the last state to ratify the 13th Amendment
1992,Mob boss John Gotti sentenced to life imprisonment
2000,Montgomery Ward announces it is going out of business
1980,Mount St. Helens erupts in Washington
1998,MP3 players for downloaded Internet audio appear.
2019,Mueller Report Released on Trump and Russia
1968,My Lai massacre by American soldiers in Vietnam
2019,Nancy Pelosi Speaker
2000,Napster ordered to stop allowing users to download copyrighted music from the internet
1965,National Foundation on the Arts and Humanities created
1971,"National Railroad Passenger Corporation, better known as Amtrak, organized"
1969,Native Americans begin nineteen-month occupation of Alcatraz Island in San Francisco Bay
1985,Oceanographer Dr. Robert Ballard's team find the wreck of the R.M.S. Titanic
1989,Oil tanker Exxon Valdez accident in Alaska
1995,Oklahoma City bombing; Timothy McVeigh convicted in 1997
2018,"Only 30,000 Refugees to be admitted in 2017"
1990,Operation Desert Shield begins after Iraq invaded Kuwait; U.S. troops sent to Middle East
2011,Osama Bin Laden Killed by US Forces
1991,Pan American and Eastern Airlines both declare bankruptcy
1961,Peace Corps founded
1971,"Pentagon Papers published in the New York Times and Washington Post, detailed the history of the U.S. involvement in Vietnam"
1981,Philips demonstrates the Compact Disc (CD)
1963,"Philips introduces the Compact Cassette tape format, and offers licenses worldwide."
1995,Pixar's Toy Story becomes the first full-length computer generated animated film
1998,President Bill Clinton subject to impeachment by the House of Representatives for lying about his relationship with White House intern Monica Lewinsky
1989,President Bush signs law banning smoking on most domestic airline flights
1977,President Carter issues unconditional pardons to all draft evaders from the Vietnam War
1964,President Johnson announces War on Poverty
1965,"President Lyndon Johnson signs the Immigration and Nationality Act of 1965, eliminating per-country immigration quotas and introducing immigration on the basis of professional experience and education. "
1972,President Nixon visits China
2009,President Obama Announces Troop Surge
1971,Prisoner occupation of Attica prison in New York
1967,"Protests against the Vietnam War in Washington, D.C. and New York, among other cities"
1993,"Raid by Bureau of Alcohol, Tobacco and Firearms agents on Branch Davidian compound in Waco, Texas"
1995,"Republican ""Contract with America"" legislation in U.S. Congress"
1984,Researchers identify the virus that causes acquired immune deficiency syndrome (AIDS)
1974,Richard Nixon becomes the first president to resign from office. Gerald Ford becomes the thirty-eighth president and pardons Nixon for any crimes he may have committed.
1969,Richard Nixon inaugurated as thirty-seventh President of the U.S.
1972,Richard Nixon reelected
1965,Robert C. Weaver named Secretary of Housing and Urban Development; first African-American cabinet member.
1968,Robert F. Kennedy assassinated in Los Angeles
1995,"Rock and Roll Hall of Fame Museum opens in Cleveland, Ohio"
1981,Ronald Reagan inaugurated as the fortieth President of the U.S.; hostages released in Iran
1975,Saigon falls to North Vietnamese; U.S. evacuates remaining civilian and military personnel
1989,"San Francisco Bay Area rocked by the Loma Prieta earthquake; coincidentally, the third game of the World Series was being played in San Francisco at the time"
1981,Sandra Day O'Connor becomes first female justice on the U.S. Supreme Court
2012,Sandy Hook School Shooting
1993,Sears stops printing its famed catalog after a century of publication
2021,Second Impeachment Trial of Donald Trump
1999,Senate acquits President Clinton of perjury and obstruction of justice
1972,Senate ratifies SALT-1 arms limitation treaty with the Soviet Union
1979,Senate ratifies treaties agreeing to return control of canal zone to Panama in 1999
1992,Serial killer Jeffrey Dahmer sentenced to life imprisonment
1995,"Several mergers of entertainment and communications companies: Walt Disney Company with Capital Cities/ABC, Westinghouse, Inc. with CBS, and Time Warner Inc. with Turner Broadcasting System"
1998,Sex and the City premieres on HBO
1989,Sitcom Seinfeld premieres on NBC
1996,"Site of original 1607 fort at Jamestown, Virginia found during archaeological excavation"
1967,Six Day War between Israeli and Arab forces
1980,"Sony introduces a palm-sized stereo cassette tape player called a ""Walkman."""
1982,"Sony releases the first CD player, the Model CDP-101"
1986,Space shuttle Challenger explodes moments after lift off in Florida
1981,Space shuttle Columbia launched on first mission; last space shuttle mission in 2012
2020,Space X Launches Astronauts to Space Station
1987,Stock market plunges in October
1960,Student Non-Violent Coordinating Committee (SNCC) formed
1962,Students for a Democratic Society issue Port Huron statement
1967,Summer of Love in San Francisco
1966,"Supreme Court rules in Miranda v. Arizona that police may not question subjects without first advising them of their constitutional rights, now known as ""Miranda warning"""
2015,Supreme Court Same Sex Marriage
1975,Teamsters union president Jimmy Hoffa disappears
1996,Telecommunications Act of 1996
